team_name,team_url,competition_id,competition_name,wysc_id
PSV,https://www.transfermarkt.nl/psv-eindhoven/startseite/verein/383/saison_id/2024,NL1,Eredivisie,1
Feyenoord,https://www.transfermarkt.nl/feyenoord-rotterdam/startseite/verein/234/saison_id/2024,NL1,Eredivisie,1
AFC Ajax,https://www.transfermarkt.nl/ajax-amsterdam/startseite/verein/610/saison_id/2024,NL1,Eredivisie,1
FC Twente,https://www.transfermarkt.nl/fc-twente-enschede/startseite/verein/317/saison_id/2024,NL1,Eredivisie,1
AZ Alkmaar,https://www.transfermarkt.nl/az-alkmaar/startseite/verein/1090/saison_id/2024,NL1,Eredivisie,1
FC Utrecht,https://www.transfermarkt.nl/fc-utrecht/startseite/verein/200/saison_id/2024,NL1,Eredivisie,1
Sparta Rotterdam,https://www.transfermarkt.nl/sparta-rotterdam/startseite/verein/468/saison_id/2024,NL1,Eredivisie,1
NEC Nijmegen,https://www.transfermarkt.nl/nec-nijmegen/startseite/verein/467/saison_id/2024,NL1,Eredivisie,1
sc Heerenveen,https://www.transfermarkt.nl/sc-heerenveen/startseite/verein/306/saison_id/2024,NL1,Eredivisie,1
PEC Zwolle,https://www.transfermarkt.nl/pec-zwolle/startseite/verein/1269/saison_id/2024,NL1,Eredivisie,1
Fortuna Sittard,https://www.transfermarkt.nl/fortuna-sittard/startseite/verein/385/saison_id/2024,NL1,Eredivisie,1
Go Ahead Eagles,https://www.transfermarkt.nl/go-ahead-eagles-deventer/startseite/verein/1435/saison_id/2024,NL1,Eredivisie,1
NAC Breda,https://www.transfermarkt.nl/nac-breda/startseite/verein/132/saison_id/2024,NL1,Eredivisie,1
Heracles Almelo,https://www.transfermarkt.nl/heracles-almelo/startseite/verein/1304/saison_id/2024,NL1,Eredivisie,1
FC Groningen,https://www.transfermarkt.nl/fc-groningen/startseite/verein/202/saison_id/2024,NL1,Eredivisie,1
Almere City FC,https://www.transfermarkt.nl/almere-city-fc/startseite/verein/723/saison_id/2024,NL1,Eredivisie,1
